signal_number;date;side;signal;text;sources;;;;;;;;;;;;;;;;;;;;;
60;25 April 2022;W;W4;Austin: United States wants “to see Russia weakened to the degree that it can’t do the kinds of things that it has done in invading Ukraine.”;"Kylie Atwood and Jennifer Hansler, “Austin says US wants to see Russia's military capabilities weakened,” CNN,
April 25, 2022 [https://edition.cnn.com/2022/04/25/politics/blinken-austin-kyiv-ukraine-zelensky-
meeting/index.html], and Julian Borger, “Pentagon chief’s Russia remarks show shift in US’s declared aims in
Ukraine,” The Guardian, April 25, 2022 [https://www.theguardian.com/world/2022/apr/25/russia-weakedend-
lloyd-austin-ukraine?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter].";;;;;;;;;;;;;;;;;;;;;
61;25 April 2022;R;R6;Lavrov: The risks of nuclear war are “very significant,” “serious” and “real.” But: He does not want to “artificially inflate these risks.”[..] Western arms deliveries to Ukraine are “pouring oil on the fire.”;"“Интервью Министра иностранных дел Российской Федерации С.В.Лаврова программе ‘Большая игра’
на ‘Первом канале’, Москва, 25 апреля 2022 года (Interview with the Minister of Foreign Affairs of the Russian
Federation S.V. Lavrov in the Big Game program on Channel One, Moscow, April 25, 2022),” Website of the
Ministry of Foreign Affairs of the Russian Federation, April 25, 2022
[https://mid.ru/ru/foreign_policy/news/1810694/]; “Интервью Министра иностранных дел Российской Федерации С.В.Лаврова программе ‘Большая игра’
на ‘Первом канале’, Москва, 25 апреля 2022 года (Interview with the Minister of Foreign Affairs of the Russian
Federation S.V. Lavrov in the Big Game program on Channel One, Moscow, April 25, 2022),” Website of the Ministry of Foreign Affairs of the Russian Federation, April 25, 2022";;;;;;;;;;;;;;;;;;;;;
62;25 April 2022;R;R8;Lavrov: It is Russia’s “principled position” that nuclear war is inadmissible. ;"“Интервью Министра иностранных дел Российской Федерации С.В.Лаврова программе ‘Большая игра’
на ‘Первом канале’, Москва, 25 апреля 2022 года (Interview with the Minister of Foreign Affairs of the Russian
Federation S.V. Lavrov in the Big Game program on Channel One, Moscow, April 25, 2022),” Website of the
Ministry of Foreign Affairs of the Russian Federation, April 25, 2022
[https://mid.ru/ru/foreign_policy/news/1810694/]; “Интервью Министра иностранных дел Российской Федерации С.В.Лаврова программе ‘Большая игра’
на ‘Первом канале’, Москва, 25 апреля 2022 года (Interview with the Minister of Foreign Affairs of the Russian
Federation S.V. Lavrov in the Big Game program on Channel One, Moscow, April 25, 2022),” Website of the Ministry of Foreign Affairs of the Russian Federation, April 25, 2022";;;;;;;;;;;;;;;;;;;;;
63;26 April 2022;W;W6;UK’s Johnson: No risk of Moscow using nuclear weapons.;"Michael Howie, “Boris Johnson says he doesn’t expect Putin to resort to nuclear weapons if Russia suffers more
Ukraine losses,” Evening Standard, April 26, 2022 [https://www.standard.co.uk/news/uk/boris-johnson-talktv-
interview-vladimir-putin-nuclear-weapons-russia-ukraine-b996462.html]; “Lawrow schließt Verhandlungslösung für Ukraine bei Waffenlieferungen aus (Lavrov rules out a negotiated
solution for Ukraine on arms deliveries),” Welt, April 26, 2022
[https://www.welt.de/politik/deutschland/article238383059/Lawrow-Keine-Verhandlungsloesung-fuer-
Ukraine-bei-Waffenlieferungen.html]; Michael Howie, “Boris Johnson says he doesn’t expect Putin to resort to nuclear weapons if Russia suffers more
Ukraine losses,” Evening Standard, April 26, 2022 [https://www.standard.co.uk/news/uk/boris-johnson-talktv-
interview-vladimir-putin-nuclear-weapons-russia-ukraine-b996462.html]; Elly Blake, “Ukraine can hit Russia with weapons supplied by UK, says armed forces minister,” Evening
Standard, April 26, 2022 [https://www.standard.co.uk/news/uk/ukraine-russia-invasion-weapons-supplied-uk-
james-heappey-b996382.html].";;;;;;;;;;;;;;;;;;;;;
64;26 April 2022;W;W7;Milley: Russia’s saber rattling was completely irresponsible.;"Zachary Cohen, Ellie Kaufman and Michael Conte, “Exclusive: Top US general tells CNN 'global international
security order' is at stake following Russia's invasion of Ukraine,” CNN, April 26, 2022
[https://edition.cnn.com/2022/04/26/politics/mark-milley-interview-cnntv/index.html].";;;;;;;;;;;;;;;;;;;;;
65;27 April 2022;W;W4;Kirby: United States do not want “to see Russia in a position to be able to do this again” and Russia should not be “in a position going forward, where they haven't suffered consequences for this unprovoked invasion.”;"“Pentagon Press Secretary John F. Kirby Holds a Press Briefing,” Website of the US Department of Defense, April
27, 2022 [https://www.defense.gov/News/Transcripts/Transcript/Article/3012823/pentagon-press-secretary-
john-f-kirby-holds-a-press-briefing/].";;;;;;;;;;;;;;;;;;;;;
66;27 April 2022;R;R5;Putin: “If someone intends to intervene on what is happening from the outside and creates unacceptable strategic threats for us, then they should know that our response to oncoming strikes will be swift, lightning fast.” And: “We have all the tools for this, ones that no one can brag about.”;"Maureen Breslin “Putin warns of ‘lightning fast’ response if any nation intervenes in Ukraine war,” The Hill,
April 28, 2022 [https://thehill.com/policy/international/russia/3469863-putin-warns-of-lightning-fast-
response-if-any-nation-intervenes-in-ukraine-war/], and “Putin issues new threat to countries intervening in
Ukraine,” CNN, April 27, 2022 [https://edition.cnn.com/videos/world/2022/04/27/putin-threat-ukraine-ip-
vpx.cnn].";;;;;;;;;;;;;;;;;;;;;
67;28 April 2022;W;W7;Sullivan: “We won’t succumb to nuclear blackmail,” nor “tolerate nuclear saber rattling and nuclear brinksmanship.”;"Jennifer Hansler, “Putin's war on Ukraine has 'driven US-Russia relations into the depths,' US ambassador to
Moscow says,” CNN, April 28, 2022 [https://edition.cnn.com/2022/04/28/politics/us-ambassador-russia-
sullivan-cnntv/index.html].";;;;;;;;;;;;;;;;;;;;;
68;28 April 2022;W;W8;Biden: United States is prepared for “whatever” Russia might do, but would send only military assistance, not troops, to Ukraine.;"""Remarks by President Biden on the Request to Congress for Additional Funding to Support Ukraine,” Website
of the White House, April 28, 2022 [https://www.whitehouse.gov/briefing-room/speeches-
remarks/2022/04/28/remarks-by-president-biden-on-the-request-to-congress-for-additional-funding-to-
support-ukraine/].";;;;;;;;;;;;;;;;;;;;;
69;29 April 2022;R;R8;Lavrov: Russian policymakers are “champions of making pledges by all nuclear countries never to start a nuclear war.”;"“Full interview with Russia’s Foreign Minister Sergey Lavrov,” YouTube account of Al Arabiya English, April 29,
2022 [https://www.youtube.com/watch?v=_DwOZOaJfY4 (from 19:13)]; “Lavrov in esclusiva su ‘Zona Bianca’: ‘Russia non ha mai smesso dialogo per evitare Guerra Mondiale’ |
‘L'Italia in prima fila contro di noi, una sorpresa negativa’ (Lavrov exclusively on 'White Zone': 'Russia has never
stopped dialogue to avoid World War' | 'Italy in the front row against us, a negative surprise'),” Tgcom24, May 1,
2022 [https://www.tgcom24.mediaset.it/mondo/lavrov-in-esclusiva-su-zona-bianca-russia-non-ha-mai-
smesso-dialogo-per-evitare-guerra-mondiale_49548127-202202k.shtml]";;;;;;;;;;;;;;;;;;;;;
70;4 May 2022;R;R3;Russia simulates electronic launches of nuclear-capable missiles in Kaliningrad – unclear whether training routine or political signaling.;"“Russia Simulates Nuclear Strikes Near EU,” The Moscow Times, May 11, 2022
[https://www.themoscowtimes.com/2022/05/05/russia-simulates-nuclear-capable-strikes-near-eu-a77586].";;;;;;;;;;;;;;;;;;;;;
71;5 May 2022;R;R1;Antonov: Russia would only use nuclear weapons defensively, in response to WMD use or when state existence is endangered.;"Tom O’Connor, “Russia Ambassador to U.S. Says NATO Not Taking Nuclear War Threat Seriously,” Newsweek,
May 5, 2022 [https://www.newsweek.com/russia-ambassador-us-says-nato-not-taking-nuclear-war-threat-
seriously-1703968].";;;;;;;;;;;;;;;;;;;;;
72;6 May 2022;R;R8;Zaitsev: Nuclear contingencies spelled out in Russia’s nuclear doctrine do not apply to the conflict in Ukraine.;"“Russia has no intention to employ nuclear weapons in Ukraine, says diplomat,” TASS, May 6, 2022
[https://tass.com/politics/1447783] and “Russia says it won't use nuclear weapons in Ukraine,” Reuters, May 6,
2022 [https://www.reuters.com/video/watch/idOV621306052022RP1].";;;;;;;;;;;;;;;;;;;;;
73;6 May 2022;W;W2;Tomero: Nuclear use would have “devastating consequences” for Russia.;"Felicia Schwartz and Demetri Sevastopulo, “How the west became less anxious about Russia’s nuclear threat,”
Financial Times, May 6, 2022 [https://www.ft.com/content/41fc6e5d-6e39-440d-97f2-cf7c517fc99b].";;;;;;;;;;;;;;;;;;;;;
74;7 May 2022;W;W3;Macron inauguration ceremony with a nuclear component.;"Clea Caulcutt, “Playbook Paris (Paris Playbook),” Politico, May 6, 2022
[https://www.politico.eu/newsletter/playbook-paris/rene-top-depart-grand-deballage-au-ps-macron-2-0/].";;;;;;;;;;;;;;;;;;;;;
75;7 May 2022;W;W6;Burns: No evidence that Russia is planning for nuclear use, but its saber-rattling cannot be taken “lightly.”;"William Burns, “Transcript: Vladimir Putin ‘doesn’t believe he can afford to lose’ — William Burns, CIA
director,” Financial Times, May 7, 2022 [https://www.ft.com/content/bd87fafd-1f9c-4dcd-af64-940cf9495ce5].";;;;;;;;;;;;;;;;;;;;;
76;9 May 2022;R;R8;The nuclear-capable component of the Victory Day parade is cancelled and Putin makes no nuclear references.;"“Putin to send nuclear ‘doomsday’ warning on 9 May,” The Guardian, May 6, 2022
[https://www.theguardian.com/world/live/2022/may/06/russia-ukraine-war-rescue-operations-to-resume-
in-mariupol-hellscape-un-says-amid-rumours-russia-wants-to-claim-city-for-victory-day-live?page=with:block-
627534218f089d6a6e498bf8#block-627534218f089d6a6e]; Isabel van Brugen, “Russia Cancels Military Flyovers on Victory Day Amid 'Adverse Weather',” Newsweek, May
9, 2022 [https://www.newsweek.com/russia-cancels-military-flyovers-victory-day-may-9-adverse-weather-
1704656]; “Victory Parade on Red Square,” Website of the President of Russia, May 9, 2022
[http://en.kremlin.ru/events/president/news/68366]; Holly Ellyatt, “All-out war on Ukraine? Putin could be gearing up for something big this ‘Victory Day’,” CNBC,
May 9, 2022 [https://www.cnbc.com/2022/05/06/putin-could-look-to-declare-victory-in-ukraine-by-may-9-
victory-day.html].";;;;;;;;;;;;;;;;;;;;;
77;10 May 2022;R;R1;Grushko: Official nuclear doctrine drives policy.;"Guy Faulconbridge, “Possible nuclear strike Russia says it is all our military doctrine,” Reuters, May 10, 2022
[https://www.reuters.com/world/europe/possible-nuclear-strike-russia-says-its-all-our-military-doctrine-
2022-05-10/].";;;;;;;;;;;;;;;;;;;;;
78;10 May 2022;W;W6;Haines: Russia is using nuclear threats to deter Western supply of military aid – Putin would only use nuclear weapons in case of an existential threat. But: losing the war and/or a NATO intervention could qualify as such.;"“'This Week' Transcript 2-27-22: White House Press Secretary Jen Psaki, Sen. Tom Cotton & Amb. Oksana
Markarova,” ABC News, February 27, 2022 [https://abcnews.go.com/Politics/week-transcript-27-22-white-
house-press-secretary/story?id=83130361]; “Director of National Intelligence Avril Haines Testimony on Global Threats and National Security,” C-SPAN,
May 10, 2022 [https://www.c-span.org/video/?519983-1/us-believes-russia-preparing-prolonged-conflict-
ukraine (from 12:00)].";;;;;;;;;;;;;;;;;;;;;
79;12 May 2022;R;R6;Medvedev: NATO aid to Ukraine could lead to an open conflict with Russia, which would risk “full-fledged nuclear war.”;"Guy Faulconbridge, “Russia warns West over risk of conflict with NATO”, Reuters, May 12, 2022
[https://www.reuters.com/world/russia-warns-west-over-risk-conflict-with-nato-2022-05-12/].";;;;;;;;;;;;;;;;;;;;;
80;16 May 2022;W;W6;UK officials warned that reclaiming Crimea would entail a greater risk of nuclear use because incorporated territories could be placed under a nuclear umbrella.;"Vivian Salama and Max Colchester, “Ukraine’s Military Gains Raise Kyiv’s War Aims as Russia Shells Eastern
Cities,” The Wall Street Journal, May 16, 2022 [https://www.wsj.com/articles/ukraines-military-regains-ground-
in-northeast-targets-another-russian-river-crossing-11652695700].";;;;;;;;;;;;;;;;;;;;;
81;19 May 2022;W;W5;Truss: London will send more arms to Ukraine, regardless of Russia’s nuclear threats. The UK is not interested in regime change in Russia, but rather in reducing its ability to commit acts of aggression.;"Luigi Ippolito, “Intervista Liz Truss: ‘Non umiliare Putin? Sbagliato: per noi deve perdere’ (Interview Liz Truss:
‘Don't humiliate Putin? Wrong: for us he must lose’),” Corriere della sera, May 19, 2022
[https://www.corriere.it/esteri/22_maggio_19/truss-ministra-esteri-regno-unito-putin-deve-pagare-crimini-
b18f80d0-d7a7-11ec-baec-5e239f3efe1e.shtml?refresh_ce].";;;;;;;;;;;;;;;;;;;;;
82;20 May 2022;W;W4;Smith: The US was interested in Russia’s strategic defeat in Ukraine.;"Camille Gijs and Hannah Roberts, “Western allies ramp up rhetoric against Russia, want ‘defeat’ of Moscow,”
Politico, May 20, 2022 [https://www.politico.eu/article/western-allies-nato-us-uk-eu-against-russia-want-to-
see-defeat-moscow/].";;;;;;;;;;;;;;;;;;;;;
83;28 May 2022;R;R3;Russia tests a hypersonic Zircon cruise missile.;"“Госиспытания в России гиперзвуковой ракеты ‘Циркон’ с надводного носителя завершены (State tests
in Russia of the ‘Zircon’ hypersonic missile from a surface carrier are completed),” TASS, May 31, 2022
[https://n.tass.ru/armiya-i-
opk/14774757?utm_source=t.co&utm_medium=referral&utm_campaign=t.co&utm_referrer=t.co]";;;;;;;;;;;;;;;;;;;;;
84;29 May 2022;R;R1;Kelin: Russia will use nuclear weapons when state existence is threatened. This has “nothing to do” with a “limited conventional operation.”;"""Russia won't use tactical nuclear weapons in Ukraine, says ambassador to UK,” BBC News, May 29, 2022
[https://www.bbc.com/news/world-europe-61618902].";;;;;;;;;;;;;;;;;;;;;
85;31 May 2022;W;W2;Biden: “Any” nuclear use “in this conflict” would be “completely unacceptable” and “entail severe consequences.”;"Joseph R. Biden Jr., “President Biden: What America Will and Will Not Do in Ukraine,” The New York Times, May
31, 2022 [https://www.nytimes.com/2022/05/31/opinion/biden-ukraine-
strategy.html?referringSource=articleShare].";;;;;;;;;;;;;;;;;;;;;
